R_ID,zone,Resource,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MWh,New_Build,Cap_size,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost_per_MW_alt,Start_cost_per_MW,Start_cost,Start_fuel_MMBTU_per_MW,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Min_Cap_MW,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Fixed_CAP,Fixed_CAP_MW,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days,VRE,Min_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Reg_Max,Rsv_Max,Ratio_energy_to_power,FLEX,MUST_RUN
11,2,PV,PV_2_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1540315.798,0,0,58184.63226,0,8000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
12,2,Wind,Wind_2_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,37312.0513,0,0,79883.01316,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
13,2,Wind,Wind_2_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,28128.70316,0,0,83830.8216,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
14,2,Wind,Wind_2_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,10833.57869,0,0,84579.88181,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
15,3,Nuclear,Nuclear_3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000,-1,0,0,412000,0,119000,2,0,208,291.2,291200,0,0,10,uranium,0.5,0,1,1,0,0,0,0,0,0,0.17,0.17,24,24,1,0,0.5,0.5,0.1,0.1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.1,0,0,0
16,3,Hydro_Res,Hydro_Res_3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,67.7,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0.1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
17,3,Hydro_RoR,Hydro_RoR_3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,50.8,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
18,3,PV,PV_3_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,225447.5129,0,0,52068.17364,0,8000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
19,3,Wind,Wind_3_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,5965.663833,0,0,75994.55528,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
20,3,Wind,Wind_3_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3626.721141,0,0,75837.91541,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
21,3,Wind,Wind_3_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1552.653802,0,0,75821.86038,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
22,4,Nuclear,Nuclear_4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000,-1,0,0,412000,0,119000,2,0,208,291.2,291200,0,0,10,uranium,0.5,0,1,1,0,0,0,0,0,0,0.17,0.17,24,24,1,0,0.5,0.5,0.1,0.1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.1,0,0,0
23,4,PV,PV_4_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,26776.03748,0,0,62552.19917,0,8000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
24,4,Wind,Wind_4_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,318.8296042,0,0,86544.89998,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
25,4,Wind,Wind_4_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,970.6140934,0,0,86958.45927,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
26,4,Wind,Wind_4_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,42.24480553,0,0,80045.20644,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
27,5,Nuclear,Nuclear_5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000,-1,0,0,412000,0,119000,2,0,208,291.2,291200,0,0,10,uranium,0.5,0,1,1,0,0,0,0,0,0,0.17,0.17,24,24,1,0,0.5,0.5,0.1,0.1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.1,0,0,0
28,5,Hydro_Res,Hydro_Res_5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,278.8,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0.1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
29,5,Hydro_RoR,Hydro_RoR_5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,283.1,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
30,5,PV,PV_5_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,798348.3313,0,0,58008.34123,0,8000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
31,5,Wind,Wind_5_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,15184.43951,0,0,80876.12053,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
32,5,Wind,Wind_5_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,16264.54171,0,0,81161.11734,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
33,5,Wind,Wind_5_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,8163.464976,0,0,84899.47652,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
34,6,Nuclear,Nuclear_6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000,-1,0,0,412000,0,119000,2,0,208,291.2,291200,0,0,10,uranium,0.5,0,1,1,0,0,0,0,0,0,0.17,0.17,24,24,1,0,0.5,0.5,0.1,0.1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.1,0,0,0
35,6,Hydro_Res,Hydro_Res_6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3625.8,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0.1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
36,6,Hydro_RoR,Hydro_RoR_6,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,496.6,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
37,6,PV,PV_6_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2262162.433,0,0,57258.29861,0,8000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
38,6,Wind,Wind_6_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,57621.04313,0,0,79929.49942,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
39,6,Wind,Wind_6_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,44002.52283,0,0,81983.61637,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
40,6,Wind,Wind_6_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,10559.30741,0,0,83277.85064,0,35000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
41,7,Hydro_Can,Hydro_Can,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3872.318514,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0.1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
42,1,CCGT,CCGT_1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,64000,0,13000,2,0,79,79,45267,9.16,5248.68,6,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.67,0.67,0,0,0
43,2,CCGT,CCGT_2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,64000,0,13000,2,0,79,79,45267,9.16,5248.68,6,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.67,0.67,0,0,0
44,3,CCGT,CCGT_3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,64000,0,13000,2,0,79,79,45267,9.16,5248.68,6,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.67,0.67,0,0,0
45,4,CCGT,CCGT_4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,64000,0,13000,2,0,79,79,45267,9.16,5248.68,6,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.67,0.67,0,0,0
46,5,CCGT,CCGT_5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,64000,0,13000,2,0,79,79,45267,9.16,5248.68,6,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.67,0.67,0,0,0
47,6,CCGT,CCGT_6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,64000,0,13000,2,0,79,79,45267,9.16,5248.68,6,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.67,0.67,0,0,0
48,1,OCGT_F,OCGT_F_1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,58000,0,11000,4,0,103,63.5703125,24411,0.22,52.14,10,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.75,0.75,0,0,0
49,2,OCGT_F,OCGT_F_2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,58000,0,11000,4,0,103,63.5703125,24411,0.22,52.14,10,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.75,0.75,0,0,0
50,3,OCGT_F,OCGT_F_3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,58000,0,11000,4,0,103,63.5703125,24411,0.22,52.14,10,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.75,0.75,0,0,0
51,4,OCGT_F,OCGT_F_4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,58000,0,11000,4,0,103,63.5703125,24411,0.22,52.14,10,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.75,0.75,0,0,0
52,5,OCGT_F,OCGT_F_5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,58000,0,11000,4,0,103,63.5703125,24411,0.22,52.14,10,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.75,0.75,0,0,0
53,6,OCGT_F,OCGT_F_6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,58000,0,11000,4,0,103,63.5703125,24411,0.22,52.14,10,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.75,0.75,0,0,0
54,1,CCGT_CCS,CCGT_CCS_1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,142000,0,27000,6,0,94.8,94.8,37920,10.992,4396.8,8,natural_gas_ccs,0.5,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.67,0,0,0
55,2,CCGT_CCS,CCGT_CCS_2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,142000,0,27000,6,0,94.8,94.8,37920,10.992,4396.8,8,natural_gas_ccs,0.5,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.67,0,0,0
56,3,CCGT_CCS,CCGT_CCS_3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,142000,0,27000,6,0,94.8,94.8,37920,10.992,4396.8,8,natural_gas_ccs,0.5,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.67,0,0,0
57,4,CCGT_CCS,CCGT_CCS_4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,142000,0,27000,6,0,94.8,94.8,37920,10.992,4396.8,8,natural_gas_ccs,0.5,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.67,0,0,0
58,5,CCGT_CCS,CCGT_CCS_5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,142000,0,27000,6,0,94.8,94.8,37920,10.992,4396.8,8,natural_gas_ccs,0.5,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.67,0,0,0
59,6,CCGT_CCS,CCGT_CCS_6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,142000,0,27000,6,0,94.8,94.8,37920,10.992,4396.8,8,natural_gas_ccs,0.5,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0.5,0.67,0,0,0
60,2,Wind_offshore,Wind_offshore_2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,-1,0,0,148000,0,59000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
61,4,Wind_offshore,Wind_offshore_4,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,-1,0,0,148000,0,59000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
62,1,PHS,PHS_1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1000,0,0,114000,0,41000,0,0,0,0,0,0,0,0,none,0,0,0.894427191,0.894427191,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,12.00000005,0,0
